,content,replyCount,retweetCount,likeCount,quoteCount,year,month,day
32,"🔴 Wir sind live! In wenigen Minuten stellt sich unser neuer Parteivorsitzender @ArminLaschet im #CDULive den Fragen unserer Mitglieder.
Sie wollen beim nächsten Mal mit dabei sein? 
👉🏼 https://t.co/poMY5MTjgU https://t.co/ngntjl3QeI",7,3,22,0,2021,3,4
33,"Nur noch 30 Minuten bis zum Start unseres #CDULive mit @ArminLaschet 🚀Sie sind CDU-Mitglied und wollen sich dieses Ereignis nicht entgehen lassen? 
📬 Armin Laschets Mail von Montag öffnen,
🔴 auf den roten Button klicken,
👩🏽‍💻Mit E-Mail-Adresse anmelden,
📺 live dabei sein! https://t.co/8dxesRNlQH",28,10,24,6,2021,3,4
34,"+++ Corona Update +++
🛑 Die Ministerpräsidentenkonferenz hat gestern das weitere Vorgehen zur Bekämpfung der Corona-Pandemie beschlossen. 🦠 Alle Beschlüsse im Detail: 
👉🏼https://t.co/v0oLq7vslW

Hier eine Übersicht der Öffnungsschritte. 👇🏼 https://t.co/pk8H70yLJk",43,9,40,3,2021,3,4
35,Hier finden Sie die Ergebnisse: 👇🏼(2/2) https://t.co/wtCjYia4cx,13,11,18,1,2021,3,3
36,"+++ Corona-Update +++
In der heutigen #Ministerpräsidentenkonferenz wurde über das weitere Vorgehen in der #Corona-Pandemie beraten. Hier finden Sie die Ergebnisse: 👇🏼 https://t.co/AybhI3f6FR",41,22,44,2,2021,3,3
37,👇 https://t.co/KJt0pP7EIw,9,5,9,0,2021,3,3
38,"🔴 Morgen einschalten! 18:15 Uhr: Exklusiv für #CDU-Mitglieder. Das erste #CDULive mit unserem neuen Vorsitzenden @ArminLaschet. 

💡 Wie kann ich dabei sein? 👉🏼 Den Link zur Veranstaltung haben alle Mitglieder am Montag per Mail bekommen. https://t.co/0Z4rqiG2aC",21,17,61,3,2021,3,3
39,🎧 Reinhören: @CyberAllianz spricht in ihrem #Podcast CYBERSNACS mit dem digitalsten Bundesgeschäftsführer Deutschlands - unserem BGF @StefanHennewig. Es geht u.a. um exklusive Geschichten vom ersten volldigitalen CDU-Parteitag &amp; die Zukunft digitaler Wahlen. #digitalundsicher https://t.co/UcbZmk0XcZ,6,4,13,1,2021,3,3
40,75 Jahre CDU im Norden Badens! Aus diesem Anlass spricht unser Vorsitzender Ministerpräsident @ArminLaschet bei der heutigen Geburtstag-Videokonferenz live mit den Mitgliedern der #CDUNordbaden. Danke für Eure starke &amp; wichtige Arbeit vor Ort. Herzlichen Glückwunsch in den Süden. https://t.co/yWyZLoruYn,22,6,33,2,2021,3,2
41,"Digitale Grüße nach #RheinlandPfalz! Heute spricht unser Vorsitzender MP @ArminLaschet mit der CDU Mayen-Koblenz über die anstehenden Landtagswahlen. Wir sind bereit für einen Wechsel in #RLP! Wir wünschen den Kandidaten Anette Moesta, Torsten Welling &amp; Peter Moskopp viel Erfolg! https://t.co/NQ0zF1o9qI",19,10,57,2,2021,3,2
42,"“Glasnost” &amp; “Perestroika” waren sein Programm – Offenheit und Wandel. Versöhnung und Ausgleich waren seine Ziele. Das Ende des Kalten Krieges war sein Verdienst. Zur Deutschen Einheit gab er den Startschuss. Heute wird Michail Gorbatschow 90 Jahre alt. 
Herzlichen Glückwunsch! https://t.co/a2KbANg2XX",19,29,112,4,2021,3,2
43,"Susanne #Eisenmann hat im TV-Duell gezeigt: Sie wäre die bessere Ministerpräsidentin für Baden-Württemberg – mit klaren Perspektiven für junge Menschen, eine starke Wirtschaft und Sicherheit in Stadt und Land. Deshalb am 14.03. in Baden-Württemberg CDU wählen! #ltwbw21 @CDU_BW https://t.co/VJwgQsGfln",485,38,210,63,2021,3,1
44,"#Eisenmann. Authentisch. Miteinander. Gemeinsam. Baden-Württemberg in die Zukunft führen.
#ltwbw21 @CDU_BW https://t.co/AxpEZM1fO0",45,12,76,1,2021,3,1
45,"Susanne #Eisenmann macht klar: Unsere Landwirte tun viel, um Natur zu erhalten. Sie verdienen unsere Wertschätzung. 
#ltwbw21 https://t.co/AADTlJHTM9",7,6,42,0,2021,3,1
46,"Echt. Ehrlich. #Eisenmann.
Ministerpräsidentin für Baden-Württemberg mit neuen Ideen für eine #neueZeit. 
#ltwbw21 @CDU_BW https://t.co/gRNj41vH7y",27,9,66,2,2021,3,1
47,"Susanne #Eisenmann macht deutlich, worauf es ankommt, damit die #Wirtschaft in Baden-Württemberg auch in Zukunft stark ist: “Wir müssen den notwendigen Strukturwandel technologisch, digital und ökologisch begleiten.” #ltwbw21 @CDU_BW https://t.co/29aa1jG5yR",26,13,93,0,2021,3,1
